INVNUM,Client_id,Inv_date,Inv_paid,Inv_Paid_date,Comments,Suppl1,Price,Quantity,PriceSuppl1,Suppl2,Price,Quantity,PriceSuppl2,Suppl3,Price,Quantity,PriceSuppl3,Suppl4,Price,Quantity,PriceSuppl4,Suppl5,Price,Quantity,PriceSuppl5,Suppl6,Price,Quantity,PriceSuppl6,Suppl7,Price,Quantity,PriceSuppl7,Total(Suppl)
INV01189,7707250934088,2018-04-23,Y,2018-04-26,,Supplement-78,268.00,5,1340.00,,,,,,,,,,,,,,,,,,,,,,,,," R 1,340.00 "
INV0159,7705180627087,2014-07-10,Y,2014-07-12,,Supplement-109,175.92,1,175.92,,,,,,,,,,,,,,,,,,,,,,,,, R 175.92 
INV0259,7705180627087,2015-02-11,Y,2015-02-17,,Supplement-114,209.24,4,836.96,Supplement-152,206.44,4,825.76,Supplement-67,92.44,1,92.44,,,,,,,,,,,,,,,,," R 1,755.16 "
INV0342,7705180627087,2015-05-06,Y,2015-05-11,,Supplement-13,106.20,3,318.60,Supplement-216,289.66,4,1158.64,,,,,,,,,,,,,,,,,,,,," R 1,477.24 "
INV01002,7705180627087,2017-09-12,Y,2017-09-14,,Supplement-76,297.64,5,1488.20,,,,,,,,,,,,,,,,,,,,,,,,," R 1,488.20 "
INV0172,7704070438085,2014-08-17,Y,2014-08-25,,Supplement-67,92.44,3,277.32,,,,,,,,,,,,,,,,,,,,,,,,, R 277.32 
INV0862,7704070438085,2017-01-11,Y,2017-01-19,,Supplement-4,214.50,4,858.00,,,,,,,,,,,,,,,,,,,,,,,,, R 858.00 
INV0969,7704070438085,2017-07-13,Y,2017-07-13,,Supplement-159,260.02,2,520.04,Supplement-213,253.70,5,1268.50,,,,,,,,,,,,,,,,,,,,," R 1,788.54 "
INV01070,7704070438085,2018-01-08,Y,2018-01-16,,Supplement-55,175.16,4,700.63,Supplement-186,270.28,2,540.56,,,,,,,,,,,,,,,,,,,,," R 1,241.19 "
INV01231,7704070438085,2018-06-08,Y,2018-06-14,,Supplement-137,232.04,2,464.08,Supplement-24,265.55,3,796.66,,,,,,,,,,,,,,,,,,,,," R 1,260.74 "
INV0019,7701260528087,2013-02-05,Y,2013-02-08,,Supplement-201,158.82,1,158.82,Supplement-236,126.54,1,126.54,,,,,,,,,,,,,,,,,,,,, R 285.36 
INV0368,7701260528087,2015-05-24,Y,2015-05-27,,Supplement-112,2689.30,1,2689.30,,,,,,,,,,,,,,,,,,,,,,,,," R 2,689.30 "
INV0426,7701260528087,2015-07-17,Y,2015-07-19,,Supplement-173,295.36,5,1476.80,Supplement-135,132.60,4,530.40,,,,,,,,,,,,,,,,,,,,," R 2,007.20 "
INV0789,7701260528087,2016-09-07,Y,2016-09-12,,Supplement-55,144.38,3,433.14,Supplement-68,215.56,5,1077.80,,,,,,,,,,,,,,,,,,,,," R 1,510.94 "
INV0994,7701260528087,2017-09-03,Y,2017-09-03,,Supplement-182,279.40,2,558.80,Supplement-218,249.76,1,249.76,,,,,,,,,,,,,,,,,,,,, R 808.56 
INV01020,7701260528087,2017-10-15,Y,2017-10-15,,Supplement-119,231.50,2,463.00,,,,,,,,,,,,,,,,,,,,,,,,, R 463.00 
INV01176,7701260528087,2018-04-16,Y,2018-04-25,,Supplement-70,245.20,1,245.20,,,,,,,,,,,,,,,,,,,,,,,,, R 245.20 
INV0030,770124076088,2013-03-17,Y,2013-03-22,,Supplement-104,284.92,1,284.92,Supplement-61,165.40,1,165.40,Supplement-139,114.10,5,570.50,Supplement-101,141.28,1,141.28,,,,,,,,,,,,," R 1,162.10 "
INV0214,770124076088,2015-01-01,Y,2015-01-04,,Supplement-199,273.96,1,273.96,Supplement-89,301.06,1,301.06,,,,,,,,,,,,,,,,,,,,, R 575.02 
INV0742,770124076088,2016-07-15,Y,2016-07-25,,Supplement-187,166.54,3,499.62,,,,,,,,,,,,,,,,,,,,,,,,, R 499.62 
INV01455,770124076088,2019-01-02,Y,2019-01-12,,Supplement-13,170.04,5,850.20,Supplement-232,361.30,2,722.60,,,,,,,,,,,,,,,,,,,,," R 1,572.80 "
INV0062,7701030854083,2013-09-21,Y,2013-09-24,,Supplement-216,223.54,5,1117.70,Supplement-231,292.02,3,876.06,,,,,,,,,,,,,,,,,,,,," R 1,993.76 "
INV0008,7610250179087,2012-08-13,Y,2012-08-23,,Supplement-145,150.00,3,450.00,Supplement-245,205.20,4,820.80,Supplement-22,60.00,2,120.00,,,,,,,,,,,,,,,,," R 1,390.80 "
INV0165,7610250179087,2014-07-16,Y,2014-07-18,,Supplement-89,271.42,2,542.84,Supplement-122,234.06,5,1170.30,,,,,,,,,,,,,,,,,,,,," R 1,713.14 "
INV0176,7610250179087,2014-08-25,Y,2014-08-27,,Supplement-208,200.56,2,401.12,,,,,,,,,,,,,,,,,,,,,,,,, R 401.12 
INV01080,7610250179087,2018-01-22,Y,2018-01-24,,Supplement-244,330.70,3,992.10,Supplement-114,257.12,1,257.12,,,,,,,,,,,,,,,,,,,,," R 1,249.22 "
INV01210,7610250179087,2018-05-15,Y,2018-05-17,,Supplement-41,196.18,2,392.36,,,,,,,,,,,,,,,,,,,,,,,,, R 392.36 
INV01279,7610250179087,2018-07-26,Y,2018-07-29,,Supplement-75,239.50,2,479.00,,,,,,,,,,,,,,,,,,,,,,,,, R 479.00 
INV01539,7610250179087,2019-08-21,Y,2019-08-25,,Supplement-75,264.58,4,1058.32,Supplement-44,278.08,4,1112.32,,,,,,,,,,,,,,,,,,,,," R 2,170.64 "
INV0028,7609240686081,2013-03-10,Y,2013-03-16,,Supplement-44,110.50,5,552.50,Supplement-104,284.92,4,1139.68,,,,,,,,,,,,,,,,,,,,," R 1,692.18 "
INV0081,7609240686081,2014-01-02,Y,2014-01-09,,Supplement-39,208.72,4,834.88,Supplement-177,141.46,1,141.46,,,,,,,,,,,,,,,,,,,,, R 976.34 
INV01309,7609240686081,2018-08-25,Y,2018-08-25,,Supplement-11,205.75,4,823.00,Supplement-157,286.50,2,573.00,,,,,,,,,,,,,,,,,,,,," R 1,396.00 "
INV0395,7609110201086,2015-06-20,Y,2015-06-29,,Supplement-213,195.56,1,195.56,Supplement-133,230.38,1,230.38,,,,,,,,,,,,,,,,,,,,, R 425.94 
INV0501,7609110201086,2015-09-14,Y,2015-09-19,,Supplement-241,175.30,5,876.50,Supplement-224,266.42,1,266.42,,,,,,,,,,,,,,,,,,,,," R 1,142.92 "
INV0648,7609110201086,2016-02-14,Y,2016-02-15,,Supplement-190,251.42,1,251.42,Supplement-13,130.14,1,130.14,,,,,,,,,,,,,,,,,,,,, R 381.56 
INV01282,7609110201086,2018-08-03,Y,2018-08-08,,Supplement-138,325.52,1,325.52,,,,,,,,,,,,,,,,,,,,,,,,, R 325.52 
INV01229,7609090369085,2018-06-07,Y,2018-06-09,,Supplement-162,276.50,5,1382.50,Supplement-230,278.26,2,556.52,Supplement-236,126.54,2,253.08,Supplement-236,126.54,2,253.08,,,,,,,,,,,,," R 2,445.18 "
INV01371,7609090369085,2018-10-23,Y,2018-10-30,,Supplement-28,320.70,2,641.40,,,,,,,,,,,,,,,,,,,,,,,,, R 641.40 
INV0100,7602020209088,2014-02-27,Y,2014-03-03,,Supplement-136,188.20,2,376.40,Supplement-85,175.92,5,879.60,,,,,,,,,,,,,,,,,,,,," R 1,256.00 "
INV0911,7602020209088,2017-04-09,Y,2017-04-13,,Supplement-223,366.56,3,1099.68,Supplement-114,240.02,3,720.06,,,,,,,,,,,,,,,,,,,,," R 1,819.74 "
INV01019,7602020209088,2017-10-15,Y,2017-10-17,,Supplement-29,219.94,3,659.82,,,,,,,,,,,,,,,,,,,,,,,,, R 659.82 
INV0334,7512130745085,2015-04-21,Y,2015-04-29,,Supplement-158,146.59,5,732.95,,,,,,,,,,,,,,,,,,,,,,,,, R 732.95 
INV0877,7512130745085,2017-02-04,Y,2017-02-05,,Supplement-238,232.04,1,232.04,,,,,,,,,,,,,,,,,,,,,,,,, R 232.04 
INV01099,7512130745085,2018-02-05,Y,2018-02-14,,Supplement-27,262.56,1,262.56,,,,,,,,,,,,,,,,,,,,,,,,, R 262.56 
INV01294,7512130745085,2018-08-15,Y,2018-08-16,,Supplement-18,184.78,4,739.12,Supplement-30,358.58,4,1434.32,,,,,,,,,,,,,,,,,,,,," R 2,173.44 "
INV0153,7511030931085,2014-06-22,Y,2014-06-27,,Supplement-38,183.02,1,183.02,,,,,,,,,,,,,,,,,,,,,,,,, R 183.02 
INV0131,7505030416082,2014-05-11,Y,2014-05-16,,Supplement-180,167.50,2,335.00,,,,,,,,,,,,,,,,,,,,,,,,, R 335.00 
INV0372,7505030416082,2015-05-28,Y,2015-06-06,,Supplement-42,352.62,1,352.62,,,,,,,,,,,,,,,,,,,,,,,,, R 352.62 
INV0688,7505030416082,2016-04-26,Y,2016-04-30,,Supplement-62,383.85,4,1535.41,,,,,,,,,,,,,,,,,,,,,,,,," R 1,535.41 "
INV0383,7503060788083,2015-06-11,Y,2015-06-12,,Supplement-95,206.44,4,825.76,Supplement-158,146.59,1,146.59,,,,,,,,,,,,,,,,,,,,, R 972.35 
INV0184,7412210788083,2014-10-01,Y,2014-10-04,,Supplement-179,226.60,3,679.80,Supplement-202,150.84,1,150.84,Supplement-50,263.93,4,1055.74,Supplement-64,87.88,1,87.88,,,,,,,,,,,,," R 1,974.26 "
INV0202,7412210788083,2014-12-01,Y,2014-12-06,,Supplement-46,189.34,5,946.70,,,,,,,,,,,,,,,,,,,,,,,,, R 946.70 
INV0327,7412210788083,2015-04-15,Y,2015-04-23,,Supplement-91,255.54,5,1277.70,,,,,,,,,,,,,,,,,,,,,,,,," R 1,277.70 "
INV0531,7412210788083,2015-10-10,Y,2015-10-15,,Supplement-94,230.20,2,460.40,Supplement-197,251.42,5,1257.10,,,,,,,,,,,,,,,,,,,,," R 1,717.50 "
INV0952,7412210788083,2017-06-12,Y,2017-06-13,,Supplement-46,220.12,1,220.12,,,,,,,,,,,,,,,,,,,,,,,,, R 220.12 
INV01493,7412210788083,2019-05-03,Y,2019-05-08,,Supplement-53,233.86,4,935.43,,,,,,,,,,,,,,,,,,,,,,,,, R 935.43 
INV01041,7411170290083,2017-11-14,Y,2017-11-24,,Supplement-1,336.66,2,673.32,Supplement-244,298.78,2,597.56,,,,,,,,,,,,,,,,,,,,," R 1,270.88 "
INV01125,7411170290083,2018-03-01,Y,2018-03-01,,Supplement-4,245.28,3,735.84,,,,,,,,,,,,,,,,,,,,,,,,, R 735.84 
INV01129,7411170290083,2018-03-06,Y,2018-03-16,,Supplement-176,209.86,3,629.58,Supplement-178,238.82,3,716.45,,,,,,,,,,,,,,,,,,,,," R 1,346.03 "
INV01430,7411170290083,2018-12-06,Y,2018-12-12,,Supplement-33,266.68,1,266.68,Supplement-72,268.96,5,1344.80,,,,,,,,,,,,,,,,,,,,," R 1,611.48 "
INV0988,7410130630081,2017-08-20,Y,2017-08-30,,Supplement-193,249.66,4,998.64,Supplement-133,269.14,5,1345.70,,,,,,,,,,,,,,,,,,,,," R 2,344.34 "
INV01023,7410130630081,2017-10-19,Y,2017-10-28,,Supplement-79,216.70,5,1083.50,,,,,,,,,,,,,,,,,,,,,,,,," R 1,083.50 "
INV01035,7410130630081,2017-11-10,Y,2017-11-20,,Supplement-38,235.46,5,1177.30,,,,,,,,,,,,,,,,,,,,,,,,," R 1,177.30 "
INV0764,740501094086,2016-08-09,Y,2016-08-12,,Supplement-174,326.40,5,1632.00,,,,,,,,,,,,,,,,,,,,,,,,," R 1,632.00 "
INV0809,740501094086,2016-10-10,Y,2016-10-18,,Supplement-20,191.62,3,574.86,,,,,,,,,,,,,,,,,,,,,,,,, R 574.86 
INV01117,740501094086,2018-02-19,Y,2018-02-28,,Supplement-168,253.62,4,1014.48,Supplement-16,269.22,2,538.44,,,,,,,,,,,,,,,,,,,,," R 1,552.92 "
INV01244,740501094086,2018-06-21,Y,2018-07-01,,Supplement-207,608.99,5,3044.94,Supplement-7,284.66,3,853.98,,,,,,,,,,,,,,,,,,,,," R 3,898.92 "
INV0949,7403250912088,2017-06-09,Y,2017-06-13,,Supplement-190,284.48,2,568.96,,,,,,,,,,,,,,,,,,,,,,,,, R 568.96 
INV01342,7403250912088,2018-09-25,Y,2018-10-01,,Supplement-190,292.46,4,1169.84,Supplement-91,277.20,5,1386.00,,,,,,,,,,,,,,,,,,,,," R 2,555.84 "
INV0347,7312170466084,2015-05-08,Y,2015-05-17,,Supplement-123,262.30,4,1049.20,,,,,,,,,,,,,,,,,,,,,,,,," R 1,049.20 "
INV0497,7312170466084,2015-09-12,Y,2015-09-14,,Supplement-27,195.30,3,585.90,,,,,,,,,,,,,,,,,,,,,,,,, R 585.90 
INV0509,7312170466084,2015-09-23,Y,2015-10-03,,Supplement-103,539.90,2,1079.81,,,,,,,,,,,,,,,,,,,,,,,,," R 1,079.81 "
INV0760,7312170466084,2016-08-05,Y,2016-08-11,,Supplement-160,232.66,1,232.66,Supplement-90,167.68,2,335.36,,,,,,,,,,,,,,,,,,,,, R 568.02 
INV0853,7312170466084,2016-12-27,Y,2017-01-05,,Supplement-19,131.20,2,262.40,Supplement-125,169.96,5,849.80,,,,,,,,,,,,,,,,,,,,," R 1,112.20 "
INV0859,7312050486084,2017-01-04,Y,2017-01-06,,Supplement-162,246.86,1,246.86,Supplement-215,275.80,4,1103.20,,,,,,,,,,,,,,,,,,,,," R 1,350.06 "
INV01050,7312050486084,2017-12-02,Y,2017-12-06,,Supplement-81,314.74,3,944.22,,,,,,,,,,,,,,,,,,,,,,,,, R 944.22 
INV01382,7312050486084,2018-11-02,Y,2018-11-06,,Supplement-195,300.44,5,1502.20,,,,,,,,,,,,,,,,,,,,,,,,," R 1,502.20 "
INV01452,7312050486084,2018-12-27,Y,2019-01-04,,Supplement-192,277.12,1,277.12,Supplement-119,234.92,4,939.69,,,,,,,,,,,,,,,,,,,,," R 1,216.81 "
INV01466,7312050486084,2019-02-03,Y,2019-02-12,,Supplement-3,282.16,4,1128.65,,,,,,,,,,,,,,,,,,,,,,,,," R 1,128.65 "
INV0210,7309060944088,2014-12-20,Y,2014-12-24,,Supplement-195,246.86,3,740.58,Supplement-61,195.04,1,195.04,,,,,,,,,,,,,,,,,,,,, R 935.62 
INV0526,7309060944088,2015-10-06,Y,2015-10-13,,Supplement-83,237.74,2,475.48,,,,,,,,,,,,,,,,,,,,,,,,, R 475.48 
INV0642,7309060944088,2016-02-05,Y,2016-02-14,,Supplement-233,257.23,2,514.46,,,,,,,,,,,,,,,,,,,,,,,,, R 514.46 
INV0658,7309060944088,2016-03-01,Y,2016-03-03,,Supplement-203,378.84,5,1894.20,Supplement-147,239.90,5,1199.51,,,,,,,,,,,,,,,,,,,,," R 3,093.71 "
INV0796,7309060944088,2016-09-24,Y,2016-09-27,,Supplement-111,93.48,1,93.48,Supplement-13,130.14,2,260.28,,,,,,,,,,,,,,,,,,,,, R 353.76 
INV0053,730823030086,2013-07-11,Y,2013-07-15,,Supplement-160,142.60,1,142.60,Supplement-172,100.42,1,100.42,Supplement-94,175.48,1,175.48,,,,,,,,,,,,,,,,, R 418.50 
INV0498,730823030086,2015-09-12,Y,2015-09-12,,Supplement-59,211.62,4,846.48,Supplement-174,295.62,1,295.62,,,,,,,,,,,,,,,,,,,,," R 1,142.10 "
INV0906,730823030086,2017-03-26,Y,2017-03-30,,Supplement-150,382.00,3,1146.00,,,,,,,,,,,,,,,,,,,,,,,,," R 1,146.00 "
INV0964,730823030086,2017-07-02,Y,2017-07-11,,Supplement-76,297.64,2,595.28,,,,,,,,,,,,,,,,,,,,,,,,, R 595.28 
INV01259,730823030086,2018-07-06,Y,2018-07-08,,Supplement-19,156.28,5,781.40,Supplement-48,290.88,4,1163.52,,,,,,,,,,,,,,,,,,,,," R 1,944.92 "
INV0088,7306050161086,2014-01-27,Y,2014-02-06,,Supplement-219,201.00,5,1005.00,Supplement-217,286.76,2,573.52,,,,,,,,,,,,,,,,,,,,," R 1,578.52 "
INV0610,7306050161086,2015-12-21,Y,2015-12-23,,Supplement-89,301.06,4,1204.24,,,,,,,,,,,,,,,,,,,,,,,,," R 1,204.24 "
INV0798,7306050161086,2016-09-27,Y,2016-10-05,,Supplement-158,146.59,5,732.95,,,,,,,,,,,,,,,,,,,,,,,,, R 732.95 
INV01475,7306050161086,2019-02-24,Y,2019-03-05,,Supplement-156,229.06,3,687.18,Supplement-207,629.51,5,3147.54,,,,,,,,,,,,,,,,,,,,," R 3,834.72 "
INV0161,7303120569085,2014-07-11,Y,2014-07-16,,Supplement-107,248.62,2,497.24,Supplement-198,179.34,5,896.70,Supplement-49,174.78,3,524.34,Supplement-56,4729.96,4,18919.84,,,,,,,,,,,,," R 20,838.12 "
INV0168,7303120569085,2014-08-01,Y,2014-08-04,,Supplement-88,248.55,2,497.11,,,,,,,,,,,,,,,,,,,,,,,,, R 497.11 
INV0601,7303120569085,2015-12-15,Y,2015-12-15,,Supplement-143,192.76,2,385.52,,,,,,,,,,,,,,,,,,,,,,,,, R 385.52 
INV01178,7303120569085,2018-04-16,Y,2018-04-19,,Supplement-44,245.02,2,490.04,Supplement-139,172.24,2,344.48,,,,,,,,,,,,,,,,,,,,, R 834.52 
INV01406,7303120569085,2018-11-16,Y,2018-11-19,,Supplement-165,327.10,2,654.20,Supplement-219,255.72,1,255.72,,,,,,,,,,,,,,,,,,,,, R 909.92 
INV0266,7212170290085,2015-02-20,Y,2015-02-26,,Supplement-100,81.99,2,163.98,,,,,,,,,,,,,,,,,,,,,,,,, R 163.98 
INV0843,7212170290085,2016-12-16,Y,2016-12-25,,Supplement-72,239.32,1,239.32,,,,,,,,,,,,,,,,,,,,,,,,, R 239.32 
INV0385,7205120917082,2015-06-11,Y,2015-06-17,,Supplement-101,208.54,1,208.54,,,,,,,,,,,,,,,,,,,,,,,,, R 208.54 
INV0829,7205120917082,2016-11-23,Y,2016-11-28,,Supplement-43,170.92,1,170.92,Supplement-75,222.40,1,222.40,,,,,,,,,,,,,,,,,,,,, R 393.32 
INV01552,7205120917082,2019-09-27,Y,2019-10-06,,Supplement-13,170.04,2,340.08,,,,,,,,,,,,,,,,,,,,,,,,, R 340.08 
INV0364,7205020213082,2015-05-23,Y,2015-05-29,,Supplement-113,41.04,5,205.20,Supplement-221,207.58,4,830.32,,,,,,,,,,,,,,,,,,,,," R 1,035.52 "
INV0711,7205020213082,2016-05-27,Y,2016-05-31,,Supplement-157,245.46,2,490.92,,,,,,,,,,,,,,,,,,,,,,,,, R 490.92 
INV0713,7205020213082,2016-05-27,Y,2016-06-03,,Supplement-173,319.30,3,957.90,Supplement-215,265.54,5,1327.70,,,,,,,,,,,,,,,,,,,,," R 2,285.60 "
INV01529,7205020213082,2019-08-01,Y,2019-08-08,,Supplement-152,301.06,4,1204.24,Supplement-130,252.04,2,504.08,Supplement-183,318.24,3,954.72,Supplement-52,219.64,3,658.92,,,,,,,,,,,,," R 3,321.96 "
INV01581,7205020213082,2020-01-20,,,,Supplement-21,329.82,3,989.46,Supplement-206,356.74,1,356.74,Supplement-209,245.20,4,980.80,,,,,,,,,,,,,,,,," R 2,327.00 "
INV0174,7203030169082,2014-08-20,Y,2014-08-22,,Supplement-139,143.74,1,143.74,,,,,,,,,,,,,,,,,,,,,,,,, R 143.74 
INV0180,7203030169082,2014-09-15,Y,2014-09-17,,Supplement-89,271.42,5,1357.10,Supplement-108,230.20,4,920.80,Supplement-123,256.60,3,769.80,Supplement-224,241.34,4,965.36,,,,,,,,,,,,," R 4,013.06 "
INV0263,7203030169082,2015-02-18,Y,2015-02-19,,Supplement-126,196.96,2,393.93,Supplement-99,148.12,2,296.24,Supplement-93,232.70,2,465.39,,,,,,,,,,,,,,,,," R 1,155.56 "
INV0148,7202270202087,2014-06-13,Y,2014-06-13,,Supplement-75,174.52,3,523.56,,,,,,,,,,,,,,,,,,,,,,,,, R 523.56 
INV0582,7202270202087,2015-11-23,Y,2015-11-30,,Supplement-17,223.74,2,447.47,Supplement-43,170.92,2,341.84,,,,,,,,,,,,,,,,,,,,, R 789.31 
INV01561,7202270202087,2019-11-01,Y,2019-11-04,,Supplement-138,328.94,4,1315.76,Supplement-99,235.90,5,1179.50,Supplement-219,275.10,1,275.10,,,,,,,,,,,,,,,,," R 2,770.36 "
INV0438,7108280360087,2015-07-22,Y,2015-07-24,,Supplement-183,261.24,2,522.48,,,,,,,,,,,,,,,,,,,,,,,,, R 522.48 
INV0773,7108280360087,2016-08-20,Y,2016-08-21,,Supplement-196,323.24,3,969.72,,,,,,,,,,,,,,,,,,,,,,,,, R 969.72 
INV0793,7108280360087,2016-09-12,Y,2016-09-17,,Supplement-40,127.18,3,381.53,Supplement-38,221.78,2,443.56,,,,,,,,,,,,,,,,,,,,, R 825.09 
INV01169,7108280360087,2018-04-10,Y,2018-04-16,,Supplement-85,254.58,3,763.74,,,,,,,,,,,,,,,,,,,,,,,,, R 763.74 
INV01181,7108280360087,2018-04-18,Y,2018-04-28,,Supplement-55,175.16,1,175.16,Supplement-14,323.83,2,647.66,,,,,,,,,,,,,,,,,,,,, R 822.81 
INV01201,7108280360087,2018-05-08,Y,2018-05-17,,Supplement-62,397.53,1,397.53,,,,,,,,,,,,,,,,,,,,,,,,, R 397.53 
INV01344,7108280360087,2018-09-26,Y,2018-09-27,,Supplement-29,232.48,4,929.92,Supplement-2,252.04,1,252.04,,,,,,,,,,,,,,,,,,,,," R 1,181.96 "
INV0121,7107150227081,2014-04-09,Y,2014-04-16,,Supplement-119,158.54,2,317.08,Supplement-93,174.56,2,349.11,Supplement-29,93.40,1,93.40,Supplement-236,126.54,2,253.08,,,,,,,,,,,,," R 1,012.68 "
INV0193,7107150227081,2014-11-08,Y,2014-11-10,,Supplement-225,152.29,5,761.45,Supplement-50,263.93,1,263.93,Supplement-197,248.00,1,248.00,Supplement-195,246.86,3,740.58,,,,,,,,,,,,," R 2,013.96 "
INV0703,7107150227081,2016-05-17,Y,2016-05-22,,Supplement-138,263.96,5,1319.80,,,,,,,,,,,,,,,,,,,,,,,,," R 1,319.80 "
INV0868,7107150227081,2017-01-17,Y,2017-01-23,,Supplement-50,311.81,2,623.63,Supplement-140,214.70,2,429.40,,,,,,,,,,,,,,,,,,,,," R 1,053.03 "
INV01218,7107150227081,2018-05-23,Y,2018-05-29,,Supplement-158,197.89,4,791.56,Supplement-128,230.20,2,460.40,Supplement-236,126.54,2,253.08,Supplement-236,126.54,2,253.08,,,,,,,,,,,,," R 1,758.12 "
INV01534,7107150227081,2019-08-06,Y,2019-08-12,,Supplement-15,391.20,3,1173.60,Supplement-19,161.98,1,161.98,,,,,,,,,,,,,,,,,,,,," R 1,335.58 "
INV0453,7106160389084,2015-08-12,Y,2015-08-14,,Supplement-189,141.46,1,141.46,Supplement-170,206.96,3,620.88,,,,,,,,,,,,,,,,,,,,, R 762.34 
INV0212,7101110702082,2014-12-28,Y,2015-01-02,,Supplement-58,192.14,1,192.14,Supplement-216,256.60,3,769.80,,,,,,,,,,,,,,,,,,,,, R 961.94 
INV0400,7101110702082,2015-06-26,Y,2015-07-06,,Supplement-80,233.80,3,701.40,Supplement-148,191.78,5,958.92,,,,,,,,,,,,,,,,,,,,," R 1,660.32 "
INV0439,7101110702082,2015-07-22,Y,2015-07-27,,Supplement-120,201.52,3,604.55,Supplement-62,359.91,2,719.82,,,,,,,,,,,,,,,,,,,,," R 1,324.38 "
INV01174,7101110702082,2018-04-15,Y,2018-04-22,,Supplement-227,334.64,4,1338.56,Supplement-146,270.28,4,1081.12,,,,,,,,,,,,,,,,,,,,," R 2,419.68 "
INV0304,7009130331088,2015-04-04,Y,2015-04-05,,Supplement-226,108.30,3,324.90,,,,,,,,,,,,,,,,,,,,,,,,, R 324.90 
INV01541,7009130331088,2019-09-03,Y,2019-09-08,,Supplement-62,400.95,4,1603.81,Supplement-127,234.94,3,704.82,,,,,,,,,,,,,,,,,,,,," R 2,308.63 "
INV0730,7004060440082,2016-07-02,Y,2016-07-08,,Supplement-220,286.24,3,858.72,Supplement-59,235.56,4,942.24,,,,,,,,,,,,,,,,,,,,," R 1,800.96 "
INV01369,7004060440082,2018-10-20,Y,2018-10-22,,Supplement-239,322.72,3,968.16,,,,,,,,,,,,,,,,,,,,,,,,, R 968.16 
INV0584,7003050348086,2015-11-28,Y,2015-12-08,,Supplement-128,205.12,5,1025.60,Supplement-74,210.82,5,1054.10,,,,,,,,,,,,,,,,,,,,," R 2,079.70 "
INV01549,7003050348086,2019-09-13,Y,2019-09-13,,Supplement-117,285.93,5,1429.65,Supplement-88,348.87,1,348.87,Supplement-41,226.96,1,226.96,Supplement-232,361.30,1,361.30,Supplement-115,432.94,1,432.94,,,,,,,,," R 2,799.72 "
INV0606,7002130927081,2015-12-20,Y,2015-12-28,,Supplement-239,273.70,2,547.40,Supplement-115,377.08,2,754.16,,,,,,,,,,,,,,,,,,,,," R 1,301.56 "
INV01283,7002130927081,2018-08-06,Y,2018-08-07,,Supplement-242,306.14,2,612.28,,,,,,,,,,,,,,,,,,,,,,,,, R 612.28 
INV0253,7001190645085,2015-02-08,Y,2015-02-18,,Supplement-134,193.90,4,775.60,Supplement-184,338.94,5,1694.70,,,,,,,,,,,,,,,,,,,,," R 2,470.30 "
INV01205,7001190645085,2018-05-12,Y,2018-05-17,,Supplement-52,217.36,3,652.08,Supplement-48,290.88,2,581.76,,,,,,,,,,,,,,,,,,,,," R 1,233.84 "
INV01377,7001190645085,2018-10-27,Y,2018-11-02,,Supplement-196,356.30,4,1425.20,Supplement-236,126.54,2,253.08,Supplement-236,126.54,2,253.08,Supplement-236,126.54,2,253.08,,,,,,,,,,,,," R 2,184.44 "
INV0420,6910130773087,2015-07-12,Y,2015-07-15,,Supplement-52,161.50,2,323.00,Supplement-147,220.52,2,441.04,,,,,,,,,,,,,,,,,,,,, R 764.04 
INV0581,6910130773087,2015-11-23,Y,2015-12-02,,Supplement-50,269.63,1,269.63,,,,,,,,,,,,,,,,,,,,,,,,, R 269.63 
INV0944,6910130773087,2017-06-04,Y,2017-06-07,,Supplement-141,218.98,1,218.98,Supplement-226,142.50,4,570.00,,,,,,,,,,,,,,,,,,,,, R 788.98 
INV01151,6910130773087,2018-03-24,Y,2018-03-28,,Supplement-39,281.68,4,1126.72,,,,,,,,,,,,,,,,,,,,,,,,," R 1,126.72 "
INV0895,6909200583086,2017-03-08,Y,2017-03-14,,Supplement-234,297.02,5,1485.10,,,,,,,,,,,,,,,,,,,,,,,,," R 1,485.10 "
INV01016,6909200583086,2017-10-13,Y,2017-10-15,,Supplement-75,236.08,5,1180.40,,,,,,,,,,,,,,,,,,,,,,,,," R 1,180.40 "
INV01526,6909200583086,2019-07-21,Y,2019-07-22,,Supplement-200,305.88,4,1223.52,Supplement-217,395.06,3,1185.18,,,,,,,,,,,,,,,,,,,,," R 2,408.70 "
INV0402,6907130694085,2015-06-27,Y,2015-07-07,,Supplement-174,295.62,3,886.86,,,,,,,,,,,,,,,,,,,,,,,,, R 886.86 
INV0543,6907130694085,2015-10-17,Y,2015-10-26,,Supplement-171,375.68,2,751.36,Supplement-103,539.90,5,2699.52,,,,,,,,,,,,,,,,,,,,," R 3,450.88 "
INV0814,6907130694085,2016-10-17,Y,2016-10-22,,Supplement-117,252.87,2,505.74,Supplement-104,393.22,5,1966.10,,,,,,,,,,,,,,,,,,,,," R 2,471.84 "
INV01239,6907130694085,2018-06-15,Y,2018-06-19,,Supplement-96,205.12,1,205.12,,,,,,,,,,,,,,,,,,,,,,,,, R 205.12 
INV0162,6810160795088,2014-07-11,Y,2014-07-13,,Supplement-157,203.28,5,1016.40,Supplement-143,167.68,2,335.36,,,,,,,,,,,,,,,,,,,,," R 1,351.76 "
